observationId,predictions
4100090298,1332 2028 83 1323 728
4100093119,2345 1012 1634 2342 616
4100093137,1922 2376 1921 2374 32
4100093195,668 274 613 742 672
4100096291,2144 1635 1421 321 1159
4100096299,672 62 671 44 578
4100096392,2156 626 9 1326 263
4100096393,2204 2028 2234 360 1533
4100096438,254 40 37 253 38
4100096459,1522 1212 1931 1521 1528
4100096525,728 2028 1332 1333 75
4100096626,913 2055 1064 181 1778
4100096719,2169 1834 274 2383 1218
4100096874,1327 1915 1267 929 1271
4100096876,1432 174 1906 1711 1076
4100096885,1333 685 2156 2160 2090
4100097057,2423 1564 203 1325 1709
4100097093,663 578 64 1737 1918
4100097134,615 2159 621 2259 224
4100097155,1326 1271 1333 2025 626
4100097236,1738 1637 1744 2135 2125
4100097247,2160 640 1322 714 2092
4100097287,926 1317 1918 846 746
4100097695,360 320 2028 1240 2342
4100097758,1316 274 687 1495 1700
4100097835,100 207 38 1422 943
4100097909,97 1987 11 1738 928
4100098016,1913 1310 1797 70 927
4100098127,2395 1084 1854 1263 670
4100098156,1064 671 675 2028 387
4100098185,1735 945 22 2069 579
4100098235,654 624 599 1174 1178
4100098262,304 1958 650 1228 1594
4100098270,1732 2038 2045 22 1855
4100098273,1064 1325 1488 28 868
4100098334,1899 1511 1384 1515 341
4100098534,2038 978 130 2248 2041
4100098542,1921 1922 1259 1205 345
4100098646,1528 1527 1526 1525 1212
4100098649,1072 194 60 446 1977
4100098746,1333 626 2156 1330 2135
4100098751,2119 688 1777 1276 1024
4100098911,1551 1031 1553 2181 1030
4100098939,1333 926 726 1915 1693
4100098964,1623 1621 694 1555 1545
4100099089,2125 196 1738 726 685
4100099148,64 1796 578 2125 2135
4100099205,742 2406 1418 668 1310
4100099234,1637 2384 1737 274 612
4100099324,640 2403 2135 641 1744
4100099350,1213 640 1322 979 1709
4100099485,10 2125 714 1322 1696
4100099900,728 2377 1371 1614 304
4100099950,726 712 1398 373 2160
4100100066,1768 642 1514 1297 284
4100100106,1269 2125 578 1744 1738
4100100116,124 8 438 2213 140
4100100146,1418 712 2351 660 2288
4100100235,1545 1622 1553 1261 1624
4100100236,877 2303 1104 1100 303
4100100271,928 1637 1738 97 1987
4100100278,117 43 1791 1957 381
4100100374,1418 628 660 1314 10
4100100450,360 2028 9 31 622
4100100566,1333 1326 1608 2090 1709
4100100586,40 1486 326 38 2341
4100100670,389 1725 387 1488 2337
4100100844,2090 641 1333 1326 626
4100100913,182 2257 1768 2306 2067
4100101002,1399 1055 2028 663 578
4100101005,2408 1544 828 855 834
4100101043,2239 1325 1608 1430 9
4100101203,1486 2406 141 615 438
4100101254,138 255 7 129 1549
4100101255,2306 674 1777 2257 589
4100101366,2325 1725 2343 993 996
4100101375,592 130 1786 1565 1625
4100101496,1063 2299 2204 2136 1627
4100101505,1069 986 1182 261 1059
4100101581,96 97 2389 283 2092
4100101664,1834 2212 1352 678 579
4100101841,2243 2087 2122 1959 1977
4100101953,1024 2406 660 2038 438
4100101985,644 1552 1624 1555 1834
4100102019,2233 22 1504 1514 1735
4100102032,2401 1503 391 926 2162
4100102043,1398 1693 98 2119 2092
4100102074,9 1330 98 1333 2124
4100102077,2135 1738 1106 137 1534
4100102094,274 612 2125 143 1696
4100102158,728 1430 390 1367 944
4100102167,64 2210 1316 1918 1495
4100102201,884 720 1635 1654 445
4100102238,2137 1905 11 1484 659
4100102243,2125 2382 1738 62 578
4100102263,126 2289 66 1646 1840
4100102285,979 726 640 373 349
4100102286,1392 1504 1649 1514 174
4100102290,9 2156 626 1746 75
4100102300,578 714 1399 685 663
4100102313,1322 1332 1333 1879 2160
4100102330,318 1624 703 671 1500
4100102464,1496 137 2288 1468 291
4100102558,1247 1826 2299 1821 398
4100102708,929 304 1468 948 1953
4100102717,2377 1412 728 2028 1396
4100102763,640 1709 1322 2090 641
4100102902,2125 578 714 1738 726
4100102925,672 687 1355 1495 671
4100103021,652 651 1505 1955 650
4100103068,2259 1719 2113 593 592
4100103136,1696 1745 1495 682 1953
4100103167,2169 2383 642 1778 284
4100103211,2124 1325 1310 726 1398
4100103271,1069 1061 992 582 320
4100103379,2203 1360 587 435 261
4100103391,660 1486 2168 921 1380
4100103403,141 923 1619 29 1786
4100103428,1849 1850 19 15 1128
4100103468,1035 1594 1994 2051 877
4100103514,329 38 328 37 626
4100103536,1094 1418 1054 628 374
4100103558,1264 1909 1915 2025 2288
4100103640,2040 123 1777 2041 1024
4100103658,1646 1552 124 1547 1059
4100103826,2119 2162 1439 1696 70
4100103834,2125 1322 580 1508 1797
4100103858,2090 1333 641 1326 292
