observationId,predictions
4100090298,360 1332 728 1323 1328
4100093119,1634 1011 621 2345 319
4100093137,1922 2026 2376 139 2374
4100093195,274 1637 668 622 1695
4100096291,2125 1522 1528 2254 663
4100096299,62 672 2125 603
4100096392,2156 2090 626 75
4100096393,1837 2028 1011 2404 28
4100096438,40 946 254
4100096459,1212 1211 2064 306 1522
4100096525,2028 350 360 2377 728
4100096626,1491 1168 1240 28 298
4100096719,445 1467 2383 2169 274
4100096874,2401 1398 1271 1903 926
4100096876,2182 742 174 705 1711
4100096885,685 2156 2382
4100097057,1326 304 2400 1064 28
4100097093,1737 663 682 687 64
4100097134,615
4100097155,1326 1271 9
4100097236,1744 578 2384 1738
4100097247,2160 1353 714 1322
4100097287,846 1693 1918 1317
4100097695,355 2028 360 2273 906
4100097758,1918 62 1316 1495 687
4100097835,615 207 248 1422 1554
4100097909,11 1987 1329 265 143
4100098016,1913 2182 2350 1024 1906
4100098127,1263 2395 381 1966
4100098156,387 2377 360 425 2389
4100098185,2069 1404 1735 1311
4100098235,654 624 599 946 653
4100098262,9 2156 862 1325 304
4100098270,1732 1504 2040 977 347
4100098273,589 1064 1488 989 2028
4100098334,815 1272 1008 1511 1899
4100098534,1695 2248 276 2393 746
4100098542,334 1919 1259 343
4100098646,1525 1521 1528 1212
4100098649,42 1072 446 1954 2312
4100098746,626 1326 2156 2135
4100098751,688 1777 2 674 658
4100098911,438 290 1031 2406 1553
4100098939,1091 926 722 846 1915
4100098964,694 1549 1545 1621
4100099089,1918 726 2295 578 1738
4100099148,1796 64 865 1744
4100099205,1905 607 2075 726 694
4100099234,2384 274 1737 682 578
4100099324,641 1398 2403 695 1691
4100099350,1213 1418 979 95 651
4100099485,1094 1392 2383 714 62
4100099900,2239 2304 28 1278 855
4100099950,726 712 1398 1400
4100100066,1953 1514 2383 1310 22
4100100106,1269 2125 578 2075 2383
4100100116,438 1784 1545 140 1549
4100100146,2409 2162 1626 608 672
4100100235,1545 1555 1624 2118
4100100236,1322 877 652 878 1965
4100100271,1637 685 2384 1406 928
4100100278,43 117 1263 1791
4100100374,4 666 1276 1778 1614
4100100450,600 623 622 624
4100100566,1324 2288 1326 145 1026
4100100586,1031 1032 40 1422 326
4100100670,389 1725 938 387
4100100844,641 1324 1333 1326 2090
4100100913,2067 1786 1300 2150 345
4100101002,1552 1399 1738 663 1623
4100101005,671 1463 150 2304 1278
4100101043,2239 83 1332 2028
4100101203,141 2040 1486 1380 2406
4100101254,2383 615 129 255 660
4100101255,2257 2 2306 666 1847
4100101366,1725 2337 1228 2325 999
4100101375,1565 592 1603 303 1843
4100101496,2203 584 29 910 651
4100101505,1069 1647 694 691 1182
4100101581,2406 2055 713 2389 2092
4100101664,1834 1352 678 1467
4100101841,2243 2104 1341 1977
4100101953,1024 2406 2040 1895 8
4100101985,1555 140 644 1637 1549
4100102019,1504 1221 1735 2045 22
4100102032,2401 30 1903 721 1503
4100102043,1693 2124 329 382 1326
4100102074,2124 9 1691 1513
4100102077,1847 2119 663 2043 640
4100102094,274 612 1695 143 663
4100102158,728 2028 1328 75 360
4100102167,2210 1316 682 274 1847
4100102201,274 1274 445 1008 720
4100102238,1400 274 1024 1695 2137
4100102243,2125 2382 1918 1738 1797
4100102263,66 1646 1063 631 319
4100102285,2135 1953 979 721 726
4100102286,1 1504 1392 1311
4100102290,2156 1746 75
4100102300,2125 578 1399 1737 62
4100102313,2028 360 350 1332 2382
4100102330,1624 238 2212 318 241
4100102464,1415 607 137 2352 1496
4100102558,419 1816 1826 1464 1983
4100102708,929 666 1606 726
4100102717,2377 1412 2028 2184 83
4100102763,2090 1091 10 1692
4100102902,1918 578 2125 726 373
4100102925,672 642 2383 1918 1337
4100103021,651 652
4100103068,2259 2113 1001 591 592
4100103136,1696 682 63 1355 1745
4100103167,2383 1495 2041
4100103211,726 265 1695 1709 929
4100103271,1061 2188 616 1648 582
4100103379,2203 1768 1018 1357 587
4100103391,1380 66 2292 1429 1069
4100103403,141 923 1222 1659 214
4100103428,15 16 434 1354 1278
4100103468,877 1035 1994 1190 1596
4100103514,728 607 1746 2119 1956
4100103536,1094 1489 1470 1664 1054
4100103558,1264 1903 847 1915
4100103640,1777 2040 1365 123 436
4100103658,1646 1059 256 2203
4100103826,2162 1439 1162 1484
4100103834,2125 580 714 1508 2371
4100103858,641 2090 292 1739 9
4100103980,360 2028 728 675 1491
4100104007,691 676 226 388 679
4100104070,75 607 1746 2156 2389
4100104127,578 1738 612 2125 2135
4100104132,1399 302 1598 2116 2229
4100104174,877 1533 2419 1955 878
4100104225,1697 2133 1847 712 682
4100104258,75 1333 145 626 1692
4100104360,591 1786 226 1732 2306
4100104386,2028 1743 2377 1430 728
4100104419,1322 1695 1966 1645
4100104434,1545 1159 1548
4100104436,304 1240 895 1064 28
4100104512,2063 8 1217 2035
4100104518,2169 2383 1548 1173 2421
4100104551,1528 2402 1522 1521 1212
4100104620,1054 38 291 1904 289
4100104630,43 1792 1231 1263 1680
4100104647,1173 1172 241 1624 1545
4100104748,1355 687 2293 2169 70
4100104867,2156 1430 75 1608
4100104875,1373 2185 1573 809 286
4100104892,350 383 187
4100104918,1008 2359 2356 935
4100104998,1430 1900 161 1614 1278
4100105008,1373 2259 1621 2113 1380
4100105316,877 1502 2110 2111 878
4100105347,1621 1840 676 226 694
4100105369,143 196 199 2391 1475
4100105385,30 1400 2045 1988 391
4100105635,1500 880 321 2144
4100105664,1172 671 1655
4100105680,728 2377 2028 1396 1168
4100105771,1437 1206 1480 1538 912
4100105795,2069 2071 78 2066
4100105810,27 1551 1276 2040 2248
4100105866,641 2090 1706
4100105913,1869 1938 1946 2184 852
4100105968,267 266
4100106312,96 1604 1488 1468 352
4100106345,2090 1326 1264 1091
4100106350,176 705 1750
4100106377,62 578 726 580 2125
4100106457,226 600 1004 676 1621
4100106530,1545 1549 256
4100106600,1586 1257 2424 1520
4100106651,1172 1173 654
4100106683,1263 2396 1791 1792 43
4100106721,654 1174 1216 97 1858
4100106759,70 354 1495 2140
4100106769,642 877 1055 1955 2110
4100106797,846 671 265 1505 677
4100107315,2377 1228 2239 2028 1278
4100107343,726 1400 666 1322
4100107373,187 383 1707 131 918
4100107378,2028 360 350 2239 1367
4100107429,1322 714
4100107434,726 382 1778 666 2259
4100107675,1355 687 2177 211 168
4100107680,1618 1518 2388 1231 1520
4100107718,1322 714 377
4100107730,1276 744 1300 666 1780
4100107759,1884 2092 373 1323 1266
4100107769,1400 2160 10 65 1333
4100107774,343 345 164 701 338
4100107929,305 1840 2203 1422
4100107931,1892 2371 1367 1889 1900
4100107968,1693 303 726 2287
4100108317,209 2389 303 2204
4100108336,948 1031 1433 1076 1083
4100108358,728 626 1326 1324 1692
4100108362,1956 1373 1323 1328 944
4100108371,28 2377 2028 728 1614
4100108380,671 1055 746 651 1549
4100108454,2028 2377 387 2117 83
4100108575,626 75 328 2092 2389
4100108666,2135 578 682 1737 1700
4100108711,211 2177 2422 1918 70
4100108781,1892 2365 2356 379 1878
4100108801,846 1300 1336 1918 2293
4100108855,2363 852 1376 1869
4100108952,379 937 936 61
4100108963,1572 884 2389 2352 671
4100109352,2028 38 1332 1837 1496
4100109361,1322 196
4100109385,2091 1697 712 2133
4100109397,255 1002 1621 2203 2041
4100109398,928 714 712 2382 1987
4100109527,2406 653 100 305 2234
4100109554,877 339 1100
4100109577,703 939 274 377 1322
4100109596,1355 1795 578 70
4100109620,1618 2388 1617 2134
4100109634,2394 1777 123 1216
4100109656,139 2212 2264 2271
4100109677,640 2160 726 1213 1738
4100109744,1918 211 70 1439 2211
4100109755,848 2383 1695 1094 1769
4100109776,717 845 2163 721 1966
4100109778,1257 1404 1232
4100109829,1300 168 846
4100109846,2371 2368 1892 1373 2372
4100109874,1875 1944 1743 2363 810
4100110348,2383 1355 1064 1987 928
4100110426,1738 1353 606 2160 2135
4100110484,2028 1555 2180
4100110561,1918 1439 846 70 1484
4100110597,2383 1380 2203 1514 651
4100110654,1526 169 2402 1172
4100110682,1618 1518
4100110742,2160 606 1697 1738 603
4100110743,2205 2084 187 831 2077
4100110755,2212 1466 1467 1530
4100110833,339 859 2212 1784 949
4100110887,1619 1486 214 671 923
4100110987,1515 1485 43 1732 2125
4100111460,1322 2406 600 668 1550
4100111493,671 577 1055 2178 663
4100111542,1549 1646 77 1555 1422
4100111543,1439 1355 1635 2352
4100111590,1957 1276 1603 1325 1438
4100111612,31 328 253
4100111644,1310 374 2124 703
4100111660,1598 69 179 2102
4100111692,1325 1953 2262 862 1491
4100111702,304 1691 1481 1322 2124
4100111739,1515 1384 2209 1382 1463
4100111746,1837 253 259 2180 31
4100111890,1262 1055 1099 1655 1509
4100111895,337 338 336 343 335
4169757343,2368 1879 1872 1889 1367
4169757369,773 562 479 618 2274
4169757430,253 256 126 1460
4169757432,344 164 345 1922 1921
4169757451,2124 2156 2050 1909
4169757468,1373 2371 379
4169757495,2270 31 713
4169757541,1064 2028 855 852 1228
4169757583,1901 2365 810 1776 936
4169757597,2359 2117 930 812 1896
4169757616,2392 855 1296 1027 852
4169757650,2392 1296 61 1943 2205
4169757653,379 1373 1774 2371 1900
4169757664,10 714 712 65 271
4169757736,1774 1772 1615 1296 1870
4169757766,932 61 833 820 1296
4169757781,1775 1704 930 934 843
4169757793,612 64 274 2125 578
4169757819,1972 1493 1640 609 950
4169757847,837 827 839 1776 1772
4169758230,111 1017 1579 112 109
4169758276,239 445 824 1776 1296
4169758332,1351 380 1603 1725 2294
4169758364,2288 660 2350 1911
4169758396,274 1697 682 1696
4169758408,221 1320 1468 1606 1985
4169758431,382 59 1400 1398 1318
4169758504,1869 1614 2366 809 1877
4169758554,1237 298 324 1482 2097
4169758588,2365 2392 855 1878 2372
4169758637,659 2046 284 1974 2038
4169758647,2353 884 100 1157
4169758665,866 1182 257 1179 261
4169758671,854 174 853 1376 2372
4169758683,1412 2391 350 2158 2117
4169758716,1373 1411 2371 1412 1408
4169758758,1798 1003 1786 1603
4169758856,261 989 1064 621
4169758874,1512 345 1922
4169758880,1396 1896 2184 174
4169758946,378 2235 2041 1240 27
4169758947,1838 1064 27 378 2119
4169758996,1342 1286 789 786 1826
4169759041,2117 81 83
4169759176,164 344 1921 1259 1512
4169759350,681 1795 687 2119
4169759408,1584 1597 1258 1586 1585
4169759468,1473 930 286 1877 1939
4169759478,1892 1371 1869 1373 807
4169759479,1877 1722 1871 2365 1890
4169759566,1001 1603 2222 318
4169759599,1372 1877 1027 379 1373
4169759624,709 816 10 2175 2089
4169759675,445 274 1573 1794 1296
4169759682,379 1372 1371 1376 1896
4169759706,349 304 382 59 2094
4169759727,1738 928 2119 642 603
4169759772,932 820 833 95 1772
4169759846,265 946 1621 2267 1031
4169759880,819 844 1769 827 932
4169759902,2288 1216 1915 329 866
4169759960,1733 1227 2150 2240 861
4169760342,623 1182 253 654 373
4169760374,2342 622 2345 675 2346
4169760431,2184 1376
4169760432,2293 686 604 1383 1918
4169760487,2304 314 203 1339
4169760516,827 1776 932 2365 1416
4169760582,1172 1655 859 1433
4169760601,820 827 61 807 837
4169760608,1396 174 1896 1743 809
4169760615,2352 1918 1300 1383
4169760628,2189 1785 1384 1154 345
4169760659,833 829 844 931 1296
4169760749,2370 1870 2365 2363
4169760898,845 92 1915 1266 1909
4169760990,646 2087 2104 1083 1156
4169761279,771 364 112 790 796
4169761347,1800 1296 1890 61 807
4169761364,43 671 1847 44 580
4169761426,1322 685
4169761457,578 2135 2384 97 2092
4169761550,1909 1400 195 845 329
4169761562,379 807 1373 1880 2185
4169761576,2026 1480 912 1627 319
4169761590,837 834 839 827
4169761631,1424 1912 1913 1422 310
4169761637,344 32 2374 2376
4169761645,1776 932 2184 933 855
4169761699,390 1371 1367 1892
4169761709,831 1704 839 830 936
4169761791,1772 834 829 822 932
4169761830,1058 587 1978 1768
4169761880,1994 2417 1996 2007 2008
4169761923,1472 884 2143 721 73
4169761926,81 2117 82 80
4169762025,1373 2299 161 1371 2371
4169762101,1894 1476 350 1707 1877
4169762111,1262 1971 1052 1994 1034
4169762335,2363 1875 1616
4169762352,1696 287 670 682 663
4169762364,2028 360 1332 728
4169762392,1776 935 936 833
4169762395,1877 1939 1371 1870 1900
4169762405,1892 2371 1371 1367
4169762414,379 2365 807 1296 1722
4169762467,2184
4169762481,1023 1726 862 1228 1477
4169762485,2345 1182 2341 2160
4169762513,2389 713 613 2055
4169762549,1915 721 2135 1310 1911
4169762586,1901 1588 1947 1877 811
4169762654,1772 1894 1901 598 1940
4169762673,2117 4 1778 10 2124
4169762684,1877 379 2361 807 1875
4169762689,1769 1775 1475 844 707
4169762739,1222 1432 2155 1393 1394
4169762930,602 2185 828 1771 1378
4169762936,1804 2083 1507 1650
4169762957,109 1342 1041 786 789
4169763029,1880 1612 2373 2370 2363
4169763064,2357 1896 1412 809 2365
4169763144,954 950 161 1681 951
4169763341,70 815 678 1918 721
4169763410,712 846 1322 1495 1987
4169763465,78 1300 668 168 1301
4169763504,1373 2371 1955 1209 905
4169763521,1887 1875 1774 1474 810
4169763587,616 130 919 1843 319
4169763603,1892 1890 2371 807
4169763628,2352 321 1306 1300 659
4169763640,1412 199
4169763772,335 1592 2107 341 346
4169763813,822 1772 1776 833 835
4169763901,344 32
4169763948,1008 720 2372 815
4169764101,759 784 765 2321 188
4169764199,2192 786 1387
4169764368,1373 1874 2371
4169764373,745 1890
4169764380,1940 1375 1355 10 1276
4169764427,1786 837 607 1023 932
4169764445,1206 1433 1840 2203 1216
4169764498,1611 1890 1372 379 1376
4169764500,1892 2368 1872 1367 1870
4169764540,2043 672 1635 1336 671
4169764577,379 1772 1776 937 1615
4169764589,1916 1383 860 1304
4169764597,2353 661 2312 2206
4169764600,2189 1225 939 2069 1785
4169764634,1467 880 1834
4169764635,726 2135 929 1953
4169764714,839 844 820 834 824
4169764755,2392 707 1872 1743
4169764772,819 833 822 837 835
4169764780,434 1286 414 415
4169764914,1709 2025 2065 1268 1334
4169764986,81 2117 83
4169765059,2117 81 80 1719 1918
4169765089,1704 820 839 1870 2365
4169765107,651 652 2173 1514 1985
4169765171,950 528 1681 954 539
4169765508,789 759 774 769 787
4169765521,2019 55 2000 2009 1285
4169766375,1570 1778 1786 1725 1772
4169766426,1959 195 2415 2087
4169768390,822 844 838 833 829
4169768592,20 17 1245 1294 365
4169769331,434 431 421
4169770347,1872 1871 2201 2370
4169770368,2184 2372 852 854 1872
4169770398,1740 1612 822 1939 1474
4169770403,843 831 936 1776 829
4169770500,1043 1209 1479 2062 582
4169770567,837 819 934 827
4169770608,2024 2000 2022 2003
4169770641,1850 1144 1118 1152 1849
4169771347,1277 19 422 2336 803
4169771365,192 1502 294 295 1977
4169771538,1245 17 20 1144
4169772337,2417 2170 177 1993 556
4169772443,759 781 764
4169772523,1999 2276 2014
4465860441,2275 2282 1346 783 2274
4465860473,2359 2370 2365 810 2363
4465860505,2069 1404 1515 2068 182
4465860565,792 775 781 411
4465860584,2291 1932 946 1646 33
4465860721,1245 1850 1137 1125 1152
4465860865,1618 1518 1520
4465860866,1518 1618 1230
4465860933,2064 2056 2057 2061
4465860965,2077 350 720 2080 1877
4465861007,540 510 507 487 524
4465861206,1776 833 379
4465861336,2043 1737 861 62 2119
4465861372,934 1776 932
4465861440,1119 1138 1110 369
4465861606,1144 1133 1121 2406 1418
4465861735,672 1486 438 1380 249
4465861756,2404 2153 356 171 1172
4465861868,1585 353 1237 194 1551
4465862149,1894 1772 1416 1771 1296
4465862167,228 1666 234 236 2008
4465862207,934 379 1894 829 832
4465862365,937 832 1023 837 1774
4465862653,414 1850 423 434
4465862743,961 1346 1295 1849 976
4465862980,500 558 510 515 229
4465863026,2020 2019 2024 1052 2013
4465863259,2303 2299 176 1565 148
4465863262,1772 828 827 844
4465863298,820 844 833 822 834
4465863347,1729 1693 1906 1912 1486
4465863350,592 1002 171 1603 675
4465863369,1278 2009 46 1285
4465863377,1776 932 61 935 1774
4465863391,286 2238 1896 1870 1893
4465863392,1851 1144 1849 17 1850
4465863400,2222 2225 862 193 394
4465863527,419 435 2321 1579
4465863876,91 2268 2159 2271 2267
4465864143,161 461 558 487 507
4465864334,1953 274 726 265 1918
4465864363,172 1946 1711 173 1900
4465864413,2028 1332 174 1514 2203
4465864514,653 328 1837 40
4465864530,720 1775 1296 1943 1890
4465864676,792 769 775
4465864689,487 449 1642 543
4465864781,1849 1850 1278 1153 2011
4465864915,481 528 976 507 523
4465865102,837 936 1878 2076 822
4465865137,1267 1333 1915 1326 1091
4465865173,413 592 1351 1394 2041
4465865248,27 2124 4
4465865344,1322 1218 721 726 926
4465865452,1400 392 1963 1320 391
4465865456,259 156 2246 620 1085
4465865459,1887 2370 1890 852 810
4465865545,1047 1107 1109 1295 618
4465865601,2365 2363 1743 1946 1870
4465865654,802 792 787 779 784
4465865826,1732 2044 1783
4465865837,796 109 750 753
4465865856,510 498 515 1667 228
4465865862,954 890 507 449 501
4465866158,1971 1262
4465866338,2352 321 815 2241
4465866372,1763 1456 762 415 1579
4465866376,1875 1774 115 720 1722
4465866401,1875 1894 379 1776 1943
4465866412,225 499 510 500 954
4465866740,1828 1824 1136 1133
4465866934,1978 989 920 998 747
4465866959,1671 567 1677
4465867128,176 1695 1778 2298 1955
4465867375,759 802 772 792
4465867452,794 1345 770 786
4465867481,359 1017 753 36 982
4465867576,796
4465867602,2307 325 2192 666
4465867733,792 764 781 759 784
4465867753,792 794 775 796 781
4465867859,953 1494 868 1492 398
4465867960,2206 123 2393 1243 1355
4465868062,1887 1880 2370 1892 1870
4465868132,1998 1278 1386 961 964
4465868342,10 1986 2398 1231 651
4465868346,1722 61 936 379 2370
4465868355,2016 1998 2011 1386 2000
4465868374,1988 435 985 907 1484
4465868440,1119 794 1110
4465868669,796
4465868729,654 665 253 1178 40
4465868930,624 600 654 622
4465869128,1363 1705 2064 912 1843
4465869357,877 878 2269 1726 1477
4465869511,353 182 1238 1791 2398
4465869607,1416 1775 936 1769 822
4465869618,365 618 1286 362 1048
4465869626,414 1144 1116 52 1134
4465869651,796
4465869652,1189 2284 773 1346 575
4465869700,762 759 784 364 792
4465869704,2030 1067 1065 616
4465869756,649 245 2303 877
4465869798,19 1122 1580 1116
4465869937,2061 2026 1603 1840 616
4465869959,1988 1514 651 985 1484
4465870129,192 1798 194
4465870146,1574 1610 1560
4465870150,2103 2415 591 1163 281
4465870202,551 453 557 485 19
4465870327,1757 1756 789 1755 1453
4465870361,1133 1290 1283 1252 1121
4465870376,992 581 582 989 261
4465870448,188 1763 1389 1286 1288
4465870450,1971 1034 1035 2136 1591
4465870454,1776 937 812 935
4465870476,1047 1192 1190
4465870537,2299 176 1063 2298 1965
4465870558,2000 223 773 2022 2166
4465870594,1048 362 2009 755 1017
4465870739,822 1772 833 835 824
4465870796,68 1766 885 879 1584
4465870807,2153 261 1069 581
4465870836,1564 2303 2304 557 548
4465870870,2128 586 876 1262 272
4465870919,1270 1793 2122 2229
4465871365,1156 1767 1766 885 2136
4465871385,1189 1236 54 13 1566
4465871464,1539 614 409
4465871488,753 804 800 787 755
4465871565,1133 1849 735 550 973
4465871601,1411 1776 1412 936 2184
4465871639,1295 967 1038 1039 451
4465871664,1364 1363 2290 2289 78
4465871676,37 352 254 1415
4465871740,2038 904 1063 2303 2039
4465871856,68 1156 1033 1767 1584
4465871870,1776 930 822 936
4465871913,2219 2415 862 293
4465871920,539 967 555 520 453
4465872035,1080 1802 869
4465872115,1372 1375
4465872243,1260 2227 2087 2386 1399
4465872470,2126 770 618 596 784
4465872557,874 338 345 341 2107
4465872629,359 2204 2215 1837 877
4465872663,936 827 935 1776 932
4465872818,1965 898 176
4465872847,1112 1967 20 1245 976
4465872853,2109 2041 816 2046 1468
4465872917,330 303 1160 1228 2383
4465872952,1152 1144 1121 1850 1118
4465873097,770 618 2190 366 976
4465873281,1262 877 339
4465873405,578 1328 2028 2125 2119
4465873488,2305 2299 2301
4465873505,2016 2279 2282 773 1189
4465873540,480 656 1286 1110 1755
4465873598,2417 510 556 177 2170
4465873884,315 111 1170 954 1522
4465874390,878 2153 1156 2414 1702
4465874474,953 469 365 1539 950
4465874480,937 837 832 819 807
4465874709,536 1676 474 2199 228
4465874721,27 1695 83 1064 878
4465874872,1093 1766 190 1092 314
4465874874,1502 1270 295 637 6
4465874944,2153 581 2215 1156 87
4465875000,478 558 499 500 950
4465875081,2305 2298 176 2299 898
4465875160,1704 831 824
4465875200,892 1863 893 1829 1824
4465875273,1054 2222 2225 2219
4465875461,2091 1736 2382 1987
4465875554,187 383 1416 95
4465875645,341 874 2136 2372 1416
4465875652,1278 1114 1849 1128 365
4465875795,2282 1346 783 1643 967
4465875805,843 1776 1959 932 819
4465876055,822 844 829 1775
4465876077,773 618 488 2275 796
4465876197,175 2071 1652 1582 1732
4465876263,1561 1559 1558 983 1627
4465876286,720 95 827 2183 286
4465876348,1491 2045 1400 2137 1953
4465876388,1971 1262 601 2244 2266
4465876404,770 618 780 794
4465876467,176 2303 1055 2304 1339
4465876628,1971 295 1665 293 1977
4465876657,828 826 1772 837 834
4465876659,2103 272 2128 86 864
4465876664,1892 1774 1886 1890 90
4465876715,827 1776 932 934 1216
4465876770,2419 359 1584 1262 982
4465876781,356 1702 2153 649 885
4465876833,27 1778 284 434 898
4465876922,1669 544 538 488 532
4465877237,2056 1397 2063 306 2060
4465877247,1776 937 1023 1615 1575
4465877298,796
4465877400,1156 2114
4465877418,784 775 762
4465877477,651 652 1055 1262 1515
4465877521,735 1245 50
4465877730,2408 20 17 1245 19
4465877793,1971 876 86 272 877
4465877854,1676 1670 236 474 1673
4465877891,1038 967 572 574 1674
4465877895,1190 1994 1203 1035
4465877928,229 536 464 234
4465877974,833 822 1772
4465878083,1672 233 536 556
4465878102,652 1750 651 2303
4465878218,1346 1241 1017 961 2190
4465878255,409 1819 1690 1866 396
4465878482,369 1688 414 1286
4465878504,1262 1971 295 272
4465878510,769 782 771 409 781
4465878636,1201 533 1748 161 229
4465878686,910 320 1104 2026
4465878739,1087 2209 1585 342
4465878854,2408 1104 1247 1134 972
4465878866,2019 2020 2008 2000 2016
4465878877,17 1047 20 463 487
4465878895,176 1565 1965 2299 2305
4465878901,1163 1662 2103 2219
4465879000,2175 269 2112 671
4465879011,1776 937 1772 832 936
4465879085,2365 1896 2356
4465879164,1179 584 1175 2406 654
4465879184,2230 862 281 2231 3
4465879209,837 834 844 1776 932
4465879259,796 758 364 1041
4465879285,935 1773 1776 61
4465879508,2303 905 2299 925
4465879600,1971 1262 2136 339 2204
4465879605,792 781 775 759 764
4465879615,1611 1869 810 1939
4465879879,1670 515 1201 228 160
4465879908,345 336 343 337
4465880036,1704 2392 830 937 807
4465880040,833 835 822 824 844
4465880108,2022 2018 2012 2000
4465880218,532 503 231 2198
4465880237,447 511 1642 1640 489
4465880257,946 1691 1647 615 2400
4465880475,773
4465880487,833 835 822 1772
4465880614,1291 573 1295 1039 1313
4465880892,1296 825 1943 834
4465881036,936 829 1296 1776 1775
4465881082,15 16 19 1128 633
4465881120,225 500 515 954
4465881129,796 756
4465881150,1538 1363 1364 2290
4465881176,2276 1849 1762 1782 1133
4465881313,1811 762 655 1820 406
4465881328,831 830 1704
4465881417,2011 1849 1850 976
4465881804,515 481 539 523 478
4465881831,1574 1610 2187
4465882043,1482 1384 873 1419 2067
4465882152,1520 1518 1230 1231
4465882333,1669 532 544 573
4465882360,2129 1156 2114 2153 620
4465882751,1069 1065 1058 616 255
4465882841,1695 2303 1702 1591 877
4465882915,796 750
4465882954,488 447 538 450 755
4465882999,2283 2284 575 1469 515
4465883025,615 1244 1551 310 1069
4465883156,796 753 906 787 773
4465883294,329 382 1909
4465883323,36 2153 1929 1240 361
4465883410,1240 1757 1826 1286 1242
4465883456,398 1811 397 762 405
4465883491,778 52 1851 1110
4465883534,773 796 790 2275
4465883637,2391 2303 1892
4465883704,726 1709 1400
4465883737,1287 1978 987 1064
4465883998,796 765
4465884078,2126 1540 785
4465884082,2034 413 182 431 1779
4465884297,1114 967 961 1120 1149
4465884447,773 796 801 1017
4465884461,1851 1145 188 1849 1850
4465884994,1666 21 312 1277 1766
4465885039,572 1291 1673 1039 1038
4465885078,796 364
4465885089,578 117 2140 936 381
4465885093,2004 1191 2280 2003 2283
4465885365,784 600 1768 425 1840
4465885399,1825 415 1818 1760 369
4465885445,571 569 557 453 969
4465885614,796 792 790
4465885772,1348 111 1826 1756 1686
4465885850,2192 1763 804 2136 2026
4465885862,2363 1880 379
4465885883,1386 627 1998 1153 13
4465886371,1201 1748 1191 1200 1682
4465886375,999 996 2345 993
4465886411,1118 607 19 736 510
4465886418,1286 46 19 1147 1283
