observationId,predictions
4100090298,1332 83 1323 2028 2050
4100093119,1634 2345 993 616 1357
4100093137,2376 2374 1922 1921 32
4100093195,668 140 274 1847 672
4100096291,2144 1635 2393 1421 321
4100096299,672 62 671 578 1624
4100096392,2156 626 1326 1333 9
4100096393,360 2204 2028 1240 1064
4100096438,40 254 253 946 259
4100096459,1522 1212 1211 1521 1931
4100096525,728 2028 2160 1332 2092
4100096626,2055 1698 2028 1778 1702
4100096719,2169 1834 1467 2383 1352
4100096874,1327 1267 1915 1398 2401
4100096876,1432 174 1711 1906 2182
4100096885,685 2156 2160 1333 714
4100097057,2423 1778 1325 163 1564
4100097093,663 578 1737 687 64
4100097134,615 621 2159 1060 224
4100097155,1326 1091 1271 1333 1327
4100097236,1738 1744 1637 2125 578
4100097247,2160 1322 640 2092 714
4100097287,926 1918 846 1317 1105
4100097695,360 909 2028 2273 320
4100097758,1316 1918 1495 687 274
4100097835,100 207 1554 248 326
4100097909,1987 11 97 219 1738
4100098016,1913 1076 2350 1906 70
4100098127,2395 1263 1084 381 2163
4100098156,387 675 2028 671 2342
4100098185,1735 945 22 2069 1500
4100098235,654 624 599 1178 1174
4100098262,304 1228 1702 163 650
4100098270,1732 2038 2045 22 178
4100098273,1702 1488 1325 9 2028
4100098334,1899 1511 1384 874 341
4100098534,2038 742 2041 1988 638
4100098542,1921 164 334 1922 1205
4100098646,1528 1525 1527 1212 1526
4100098649,194 1072 60 446 1977
4100098746,1333 626 2156 1326 9
4100098751,1780 2119 1024 1276 1777
4100098911,1031 1551 1553 290 2181
4100098939,1915 926 1327 726 1693
4100098964,1621 1545 1623 1555 255
4100099089,2125 196 2295 1738 62
4100099148,1796 64 578 1744 865
4100099205,1905 668 2406 1418 742
4100099234,2384 274 1637 1737 578
4100099324,640 641 1709 2 2403
4100099350,1213 979 640 274 1541
4100099485,10 2125 1696 1322 1534
4100099900,728 2239 2377 1614 855
4100099950,726 712 1418 1398 1905
4100100066,1768 303 1297 1514 1218
4100100106,2125 1269 1744 578 714
4100100116,124 1622 140 77 2063
4100100146,2351 1905 1418 2162 660
4100100235,1545 1555 1622 1261 1646
4100100236,877 2303 377 651 303
4100100271,2125 928 1987 1738 1637
4100100278,117 43 1791 381 1957
4100100374,1418 628 2118 1297 138
4100100450,360 600 622 1069 226
4100100566,1333 1326 1608 9 2
4100100586,40 1032 1486 326 38
4100100670,389 1725 387 1717 1488
4100100844,641 1333 2090 1326 1324
4100100913,2067 182 181 338 342
4100101002,1399 1055 1598 2028 2386
4100101005,1544 855 118 1564 2239
4100101043,2239 83 196 2028 1325
4100101203,1486 2406 141 660 615
4100101254,138 255 129 1547 1380
4100101255,674 2306 2257 1768 589
4100101366,2325 1725 2343 2338 278
4100101375,130 592 1565 1603 1351
4100101496,1063 2203 2204 675 130
4100101505,1182 1069 691 1066 615
4100101581,97 713 2389 283 2382
4100101664,1834 678 2212 1352 1467
4100101841,2243 2087 1977 1959 2104
4100101953,1024 2406 660 2038 1436
4100101985,1624 644 140 1552 1555
4100102019,22 2233 1735 1311 1514
4100102032,2401 1903 30 2162 1503
4100102043,2124 1398 98 1693 726
4100102074,9 2124 98 2 1608
4100102077,2135 1738 137 1106 2119
4100102094,274 143 2125 612 1322
4100102158,728 1430 2239 1614 1367
4100102167,64 2210 1316 1918 1495
4100102201,884 720 1635 1654 1274
4100102238,2137 1905 1320 1484 1400
4100102243,2125 2382 1738 578 62
4100102263,66 126 2289 1646 1216
4100102285,726 373 979 640 1953
4100102286,1504 1514 1392 1 1297
4100102290,2156 1746 9 75 626
4100102300,578 714 62 663 1399
4100102313,1332 1322 2028 2160 641
4100102330,1624 318 1623 671 1834
4100102464,1496 660 1415 607 1040
4100102558,1826 398 1811 435 1821
4100102708,929 304 666 726 1218
4100102717,2377 1412 1396 2184 1376
4100102763,640 2090 1709 641 382
4100102902,2125 578 714 1738 62
4100102925,672 671 1355 642 1300
4100103021,651 652 1505 649 650
4100103068,2259 1719 2113 592 380
4100103136,1696 682 663 1745 1495
4100103167,2383 742 1855 1218 2169
4100103211,1325 1310 1988 2124 2041
4100103271,1069 1061 582 2030 616
4100103379,2203 587 419 1182 435
4100103391,1486 660 2168 2406 1646
4100103403,141 923 29 174 1786
4100103428,15 19 1278 313 1849
4100103468,1594 1035 1994 1190 877
