observationId,predictions
4100090298,1332 1328 641 2050 360
4100093119,1357 1634 616 697 996
4100093137,2374 1921 2376 32 819
4100093195,668 1739 1428 674 1738
4100096291,122 1844 128 285 321
4100096299,663 672 1700 577 1737
4100096392,641 1326 9 2403 2156
4100096393,360 877 2234 1634 2404
4100096438,254 252 1646 1174 1177
4100096459,1212 2064 1209 2059 1211
4100096525,641 2158 1332 1328 714
4100096626,1228 120 1332 675 303
4100096719,2169 1737 2125 677 980
4100096874,847 1739 1334 1267 1398
4100096876,1711 1910 2182 1432 1905
4100096885,685 1738 641 611 722
4100097057,1228 641 2423 303 905
4100097093,663 1700 682 1737 64
4100097134,252 697 1859 1060 1721
4100097155,1334 292 1326 1271 1739
4100097236,2075 1744 1637 1738 714
4100097247,1706 2403 641 714 1739
4100097287,926 1985 1105 1989 722
4100097695,360 1332 908 909 2028
4100097758,1316 1737 663 1918 11
4100097835,100 248 1030 38 1554
4100097909,11 711 1738 1905 714
4100098016,2182 1911 1913 2350 1906
4100098127,2395 1979 1231 1957 1854
4100098156,1228 1332 2342 390 641
4100098185,1735 945 169 1783 2069
4100098235,654 1177 599 616 1174
4100098262,1228 303 304 1768 360
4100098270,1301 1768 1732 285 1735
4100098273,1228 360 1604 9 1488
4100098334,1511 1384 874 1899 338
4100098534,285 1988 1986 1514 2075
4100098542,1205 1921 164 334 32
4100098646,1212 1211 1209 1931 1521
4100098649,2219 446 2251 2315 2217
4100098746,1739 1326 641 292 1271
4100098751,674 2048 1781 1780 2
4100098911,2203 171 1623 1030 2263
4100098939,1739 1910 722 1271 1428
4100098964,1623 1552 1555 1173 1898
4100099089,1738 1508 196 2125 726
4100099148,1796 1744 1390 390 287
4100099205,1910 1739 2075 1905 697
4100099234,612 682 1637 663 1737
4100099324,2403 1739 847 641 1398
4100099350,1213 979 262 2403 1744
4100099485,1739 726 1398 10 1738
4100099900,931 819 1770 2205 936
4100099950,1739 726 285 1398 219
4100100066,1768 303 1514 1988 276
4100100106,2075 1744 2125 612 1738
4100100116,1646 1898 643 644 1844
4100100146,722 1739 1905 847 2162
4100100235,1646 1555 644 2263 1261
4100100236,877 741 1297 303 1768
4100100271,711 1738 2075 1910 606
4100100278,117 1791 1979 629 43
4100100374,1297 1711 1739 1418 10
4100100450,360 697 1357 691 600
4100100566,1910 1739 641 1326 1267
4100100586,1030 1174 38 1060 697
4100100670,389 1717 697 1607 1721
4100100844,641 292 1739 1324 1326
4100100913,182 338 1384 2179 346
4100101002,1399 1055 2134 2209 664
4100101005,611 1544 931 1376 2356
4100101043,196 2239 360 1608 641
4100101203,738 439 1030 1380 654
4100101254,139 138 2203 877 579
4100101255,676 697 1228 674 1768
4100101366,1228 931 2338 2342 1488
4100101375,128 388 1844 1565 697
4100101496,697 2203 877 1711 675
4100101505,1066 697 1357 252 1060
4100101581,641 1857 714 726 2125
4100101664,678 1834 1509 677 579
4100101841,2243 1977 2244 2104 1073
4100101953,2038 1024 128 347 660
4100101985,644 1552 1737 239 1898
4100102019,1735 1311 2179 677 165
4100102032,1739 847 1986 1989 285
4100102043,847 1739 1398 914 1334
4100102074,847 1267 1608 2 9
4100102077,1022 663 1738 2403 682
4100102094,612 1738 143 682 196
4100102158,728 390 80 9 814
4100102167,682 1316 64 663 1918
4100102201,1274 1478 115 663 1635
4100102238,2137 11 1905 285 221
4100102243,2125 685 1738 1739 1332
4100102263,2263 631 1646 942 1516
4100102285,847 1398 726 721 373
4100102286,1514 285 1985 1986 1606
4100102290,1267 641 1318 9 1744
4100102300,663 1737 578 2125 682
4100102313,1739 292 641 1332 1328
4100102330,239 241 1623 1552 663
4100102464,1334 847 38 1552 1739
4100102558,1816 1678 2326 410 1983
4100102708,847 929 1606 1768 303
4100102717,1376 931 80 1409 2356
4100102763,1334 847 292 1706 1739
4100102902,2125 1744 1739 1738 663
4100102925,677 672 285 1090 388
4100103021,652 877 897 183 648
4100103068,593 1717 697 698 2113
4100103136,663 682 1316 578 704
4100103167,285 114 1988 1855 2383
4100103211,1739 929 1988 1317 726
4100103271,1061 1648 616 992 1069
4100103379,171 419 1711 697 2203
4100103391,1646 1030 1174 1060 654
4100103403,1711 171 141 214 1786
4100103428,1354 19 313 15 1277
4100103468,1994 1035 1596 1594 1469
4100103514,329 9 38 1178 607
4100103536,1094 2075 1738 2125 714
4100103558,847 1334 1268 1909 2025
4100103640,128 2137 1768 123 1217
4100103658,1646 1060 643 256 1538
4100103826,722 1162 1439 2162 847
4100103834,2125 1738 1508 196 612
4100103858,292 1739 1910 2075 611
4100103980,360 641 1332 1328 1608
4100104007,697 679 360 691 226
4100104070,641 9 1739 1608 2
4100104127,612 1744 714 1738 663
4100104132,299 2424 170 1227 664
4100104174,877 2028 1297 94 1533
4100104225,926 722 612 682 1316
4100104258,641 1332 1267 145 1739
4100104360,346 4 1786 675 1208
4100104386,931 1412 1376 390 2356
4100104419,611 845 382 721 196
4100104434,1556 2059 256 1545 1211
4100104436,641 1332 1228 390 1608
4100104512,2059 2038 1932 440 1217
4100104518,1173 631 877 1855 1836
4100104551,1212 1209 1931 1521 1527
4100104620,1904 440 207 38 289
4100104630,1229 2424 1586 629 43
4100104647,239 1173 1172 241 2029
4100104748,1302 2177 1700 663 687
4100104867,9 1326 641 1608 2156
4100104875,1373 1886 1881 1889 2237
4100104892,1741 185 2158 350 1772
4100104918,2238 1893 1869 810 811
4100104998,931 1376 1544 1412 814
4100105008,1223 675 379 1373 1786
4100105316,877 886 2244 294 1971
4100105347,2263 139 2203 388 226
4100105369,196 1738 143 1508 612
4100105385,285 1986 391 1989 30
4100105635,1509 321 1500 880 169
4100105664,1172 1173 214 171 261
4100105680,390 931 819 936 2378
4100105771,2255 1537 1479 1628 319
4100105795,1735 2071 2069 1311 2067
4100105810,4 2038 27 1276 1974
4100105866,1706 641 1332 292 1739
4100105913,931 1869 2373 1611 819
4100105968,267 266 268 872 151
4100106312,2342 1604 1468 1607 1228
4100106345,1326 1739 1334 641 1330
4100106350,1841 176 877 243 1628
4100106377,196 663 1738 682 1737
4100106457,139 697 593 388 1603
4100106530,940 2061 1556 169 579
4100106600,1586 1257 1232 1519 1229
4100106651,1173 2263 1172 654 631
4100106683,1791 629 2396 1957 1979
4100106721,329 654 1739 1905 1175
4100106759,1478 1791 2157 1957 2179
4100106769,1297 877 303 2173 1055
4100106797,677 183 1514 1989 1847
4100107315,931 80 120 933 1370
4100107343,726 1905 1739 1398 1213
4100107373,187 185 383 2205 2158
4100107378,641 390 931 1228 1332
4100107429,1910 1706 1739 721 1096
4100107434,4 641 2124 1398 1276
4100107675,2177 677 300 168 170
4100107680,2388 1518 1519 1617 1618
4100107718,1739 721 1096 131 292
4100107730,4 1276 816 1406 1301
4100107759,1332 1706 390 2050 2369
4100107769,292 714 1706 65 1739
4100107774,340 2425 334 338 333
4100107929,1646 1428 2203 668 1556
4100107931,1886 1889 1881 390 1373
4100107968,303 1606 1739 1988 847
4100108317,1739 360 697 1468 622
4100108336,169 239 1433 631 1076
4100108358,641 1334 1326 1739 1324
4100108362,1328 390 1373 2373 1893
4100108371,390 931 163 819 2205
4100108380,1514 183 577 1856 1847
4100108454,931 819 1770 1228 1376
4100108575,1326 641 9 75 626
4100108666,1700 663 682 1737 578
4100108711,677 2177 1847 2422 577
4100108781,931 1410 1408 1407 1412
4100108801,1316 1302 677 1918 1847
4100108855,931 1869 2373 1893 1890
4100108952,931 933 1296 819 1770
4100108963,1572 2138 1302 1022 12
4100109352,2028 877 360 1332 1533
4100109361,1739 611 196 1738 292
4100109385,722 2091 1398 926 847
4100109397,2263 2289 1622 139 2203
4100109398,1739 1271 1398 292 714
4100109527,697 654 1066 1216 1174
4100109554,877 879 1054 1789 885
4100109577,377 703 1218 373 1739
4100109596,1795 2177 1478 663 687
4100109620,1617 2388 1618 1519 646
4100109634,674 1777 2394 2137 659
4100109656,139 2212 1509 579 2263
4100109677,847 722 1739 1022 1738
4100109744,677 2177 351 629 1918
4100109755,611 819 1094 877 931
4100109776,847 117 1979 1957 2163
4100109778,1232 1519 629 1229 1586
4100109829,168 677 351 169 1302
4100109846,2368 1881 2371 1892 2373
4100109874,133 1703 331 1877 1945
4100110348,285 11 2137 1908 1856
4100110426,1706 1739 1910 292 1738
4100110484,1764 2028 1623 1555 2203
4100110561,677 686 1980 629 1495
4100110597,1562 2203 139 877 2173
4100110654,1172 169 1173 2177 1523
4100110682,1519 2388 1618 1518 1230
4100110742,847 1398 722 1739 292
4100110743,2373 2205 2084 331 819
4100110755,388 593 1786 1711 2212
4100110833,1257 2269 1586 300 175
4100110887,214 249 1172 1173 1619
